method,iteration,exploitability
CFR,0,0.54166667
CFR,10,0.07596785
CFR,20,0.03798392
CFR,30,0.02532262
CFR,40,0.01899196
CFR,50,0.01519357
CFR,60,0.01266131
CFR,70,0.01085255
CFR,80,0.00949598
CFR,90,0.00844087
CFR,100,0.00759678
CFR,110,0.00690617
CFR,120,0.00633065
CFR,130,0.00584368
CFR,140,0.00542627
CFR,150,0.00506452
CFR,160,0.00474799
CFR,170,0.00446870
CFR,180,0.00422044
CFR,190,0.00399831
CFR,200,0.00379839
CFR,210,0.00361752
CFR,220,0.00345308
CFR,230,0.00330295
CFR,240,0.00316533
CFR,250,0.00303871
CFR,260,0.00292184
CFR,270,0.00281362
CFR,280,0.00271314
CFR,290,0.00261958
CFR,300,0.00253226
MMD,0,0.54166667
MMD,10,0.29069639
MMD,20,0.19276814
MMD,30,0.13814805
MMD,40,0.10661726
MMD,50,0.08661027
MMD,60,0.07285243
MMD,70,0.06282412
MMD,80,0.05519617
MMD,90,0.04920349
MMD,100,0.04437443
MMD,110,0.04040226
MMD,120,0.03707890
MMD,130,0.03425828
MMD,140,0.03183492
MMD,150,0.02973076
MMD,160,0.02788686
MMD,170,0.02625789
MMD,180,0.02480844
MMD,190,0.02351044
MMD,200,0.02234137
MMD,210,0.02128297
MMD,220,0.02032024
MMD,230,0.01944079
MMD,240,0.01863427
MMD,250,0.01789198
MMD,260,0.01720655
MMD,270,0.01657168
MMD,280,0.01598198
MMD,290,0.01543280
MMD,300,0.01492011
REINFORCE_PG,1,0.05223861
REINFORCE_PG,20,0.00520973
REINFORCE_PG,40,0.00287542
REINFORCE_PG,60,0.00207139
REINFORCE_PG,80,0.00164477
REINFORCE_PG,100,0.00141508
REINFORCE_PG,120,0.00128914
REINFORCE_PG,140,0.00115762
REINFORCE_PG,160,0.00103080
REINFORCE_PG,180,0.00092715
REINFORCE_PG,200,0.00084091
REINFORCE_PG,220,0.00077065
REINFORCE_PG,240,0.00071164
REINFORCE_PG,260,0.00066090
REINFORCE_PG,280,0.00061747
REINFORCE_PG,300,0.00057995
