method,episodes,seconds,expl_mean,expl_std
PPO_tailavg,150016,147.47,0.031449,0.035519
PPO_tailavg,165120,162.86,0.027319,0.027068
PPO_tailavg,180224,177.74,0.035517,0.041672
PPO_tailavg,195072,192.43,0.039980,0.055615
PPO_tailavg,210176,207.53,0.031626,0.037964
PPO_tailavg,225024,221.67,0.027713,0.029805
PPO_tailavg,240128,236.60,0.021969,0.019469
PPO_tailavg,255232,251.64,0.019404,0.014125
PPO_tailavg,270080,266.68,0.018268,0.012233
PPO_tailavg,285184,281.43,0.016849,0.010129
PPO_tailavg,300032,296.35,0.015900,0.008408
PPO_last,256,0.23,0.719284,0.010403
PPO_last,15104,14.58,0.045467,0.034085
PPO_last,30208,29.01,0.034909,0.045913
PPO_last,45056,43.59,0.049750,0.048791
PPO_last,60160,58.35,0.023945,0.009117
PPO_last,75008,72.84,0.032683,0.012748
PPO_last,90112,87.83,0.035427,0.013697
PPO_last,105216,102.80,0.048014,0.036428
PPO_last,120064,117.34,0.037938,0.039696
PPO_last,135168,132.65,0.035865,0.031204
PPO_last,150016,147.47,0.031449,0.035519
PPO_last,165120,162.86,0.041066,0.044934
PPO_last,180224,177.74,0.079212,0.090378
PPO_last,195072,192.43,0.065926,0.076498
PPO_last,210176,207.53,0.046796,0.039815
PPO_last,225024,221.67,0.027417,0.014459
PPO_last,240128,236.60,0.027005,0.014740
PPO_last,255232,251.64,0.030846,0.019702
PPO_last,270080,266.68,0.031829,0.031002
PPO_last,285184,281.43,0.023442,0.009689
PPO_last,300032,296.35,0.026868,0.017650
PPG_tailavg,150016,156.02,0.014855,0.012388
PPG_tailavg,165120,171.41,0.030533,0.023088
PPG_tailavg,180224,187.31,0.035539,0.031928
PPG_tailavg,195072,202.15,0.035850,0.028400
PPG_tailavg,210176,216.48,0.033639,0.029822
PPG_tailavg,225024,230.49,0.029537,0.024985
PPG_tailavg,240128,244.87,0.024774,0.013963
PPG_tailavg,255232,258.94,0.019744,0.008792
PPG_tailavg,270080,272.21,0.016488,0.006051
PPG_tailavg,285184,286.02,0.014198,0.004318
PPG_tailavg,300032,299.46,0.012889,0.003984
PPG_last,256,0.22,0.737897,0.014330
PPG_last,15104,15.76,0.021002,0.009415
PPG_last,30208,31.31,0.010973,0.005273
PPG_last,45056,46.86,0.013617,0.012941
PPG_last,60160,62.92,0.036674,0.029486
PPG_last,75008,78.31,0.035827,0.014935
PPG_last,90112,94.03,0.019232,0.012295
PPG_last,105216,109.34,0.028191,0.021885
PPG_last,120064,124.62,0.053715,0.046642
PPG_last,135168,140.46,0.047711,0.051570
PPG_last,150016,156.02,0.014855,0.012388
PPG_last,165120,171.41,0.045652,0.036901
PPG_last,180224,187.31,0.053988,0.029343
PPG_last,195072,202.15,0.064526,0.050092
PPG_last,210176,216.48,0.057685,0.058043
PPG_last,225024,230.49,0.044093,0.032579
PPG_last,240128,244.87,0.037462,0.035618
PPG_last,255232,258.94,0.021658,0.022295
PPG_last,270080,272.21,0.012963,0.009631
PPG_last,285184,286.02,0.014088,0.010312
PPG_last,300032,299.46,0.012716,0.011142
DeepPG_RPG_tailavg,150000,70.83,0.205067,0.018064
DeepPG_RPG_tailavg,165000,77.81,0.212479,0.024882
DeepPG_RPG_tailavg,180000,84.90,0.212174,0.028799
DeepPG_RPG_tailavg,195000,91.94,0.211301,0.030190
DeepPG_RPG_tailavg,210000,98.98,0.210982,0.030392
DeepPG_RPG_tailavg,225000,106.03,0.210589,0.030653
DeepPG_RPG_tailavg,240000,113.04,0.210353,0.030119
DeepPG_RPG_tailavg,255000,120.20,0.210030,0.029347
DeepPG_RPG_tailavg,270000,127.42,0.209224,0.028547
DeepPG_RPG_tailavg,285000,134.38,0.210383,0.028299
DeepPG_RPG_tailavg,300000,141.38,0.212610,0.028545
DeepPG_RPG_last,1,0.00,0.879289,0.023766
DeepPG_RPG_last,15000,7.38,0.608165,0.014522
DeepPG_RPG_last,30000,14.67,0.485047,0.016896
DeepPG_RPG_last,45000,21.67,0.401753,0.025144
DeepPG_RPG_last,60000,28.67,0.349624,0.012654
DeepPG_RPG_last,75000,35.67,0.307772,0.021022
DeepPG_RPG_last,90000,42.61,0.281331,0.019947
DeepPG_RPG_last,105000,49.63,0.251083,0.027015
DeepPG_RPG_last,120000,56.60,0.224586,0.024183
DeepPG_RPG_last,135000,63.74,0.210982,0.025596
DeepPG_RPG_last,150000,70.83,0.205067,0.018064
DeepPG_RPG_last,165000,77.81,0.209737,0.033370
DeepPG_RPG_last,180000,84.90,0.207660,0.036218
DeepPG_RPG_last,195000,91.94,0.214047,0.029988
DeepPG_RPG_last,210000,98.98,0.201817,0.036772
DeepPG_RPG_last,225000,106.03,0.228650,0.040219
DeepPG_RPG_last,240000,113.04,0.229003,0.072350
DeepPG_RPG_last,255000,120.20,0.236916,0.068734
DeepPG_RPG_last,270000,127.42,0.230766,0.061148
DeepPG_RPG_last,285000,134.38,0.249439,0.035898
DeepPG_RPG_last,300000,141.38,0.248780,0.026724
NFSP,1,0.00,0.923593,0.000000
NFSP,15000,7.78,0.668629,0.020513
NFSP,30000,16.15,0.636367,0.014694
NFSP,45000,24.60,0.590056,0.011480
NFSP,60000,33.21,0.556940,0.008205
NFSP,75000,41.93,0.546039,0.006148
NFSP,90000,50.87,0.543136,0.009305
NFSP,105000,59.88,0.534376,0.007218
NFSP,120000,69.03,0.524337,0.007133
NFSP,135000,78.29,0.523123,0.010419
NFSP,150000,87.67,0.515984,0.004952
NFSP,165000,97.35,0.497998,0.010410
NFSP,180000,107.10,0.502843,0.006817
NFSP,195000,117.00,0.504184,0.006271
NFSP,210000,127.02,0.488433,0.006050
NFSP,225000,137.03,0.500905,0.004830
NFSP,240000,147.05,0.483534,0.005548
NFSP,255000,157.08,0.500774,0.004514
NFSP,270000,167.10,0.484805,0.001134
NFSP,285000,177.14,0.481678,0.004608
NFSP,300000,187.21,0.495931,0.003881
CFR,,69.13,0.003664,0.0
PSRO,,43.84,0.004790,0.000435
DeepCFR,,164.02,0.121712,0.006720
