bid_levels,num_values,noise,num_signals,bidder0_value,converged,nashconv
5,4,0.5,1,0.718543,1,0.00010000
5,4,0.5,2,0.596344,1,0.00009997
5,4,0.5,3,0.632349,1,0.00010000
5,4,0.5,4,0.599584,1,0.00009998
5,4,0.5,5,0.611593,1,0.00009999
9,4,0.5,1,0.367557,1,0.00010000
9,4,0.5,2,0.463580,1,0.00009997
9,4,0.5,3,0.384502,0,0.00019069
9,4,0.5,4,0.382644,0,0.00016439
9,4,0.5,5,0.401363,1,0.00010000
17,4,0.5,1,0.294836,0,0.00777885
17,4,0.5,2,0.363566,0,0.00052644
17,4,0.5,3,0.356127,0,0.00054864
17,4,0.5,4,0.340874,0,0.00105911
17,4,0.5,5,0.359797,0,0.00070681
