toehold,restart,opening_bid,p_rival_deterred,value0,value1,nashconv,reached_tolerance,accepted,tolerance,iterations
0.0,0,0.000003,0.000001,0.184027,0.159721,0.00000208,0,1,1e-08,2000000
0.0,1,1.124995,0.333331,0.184033,0.065972,0.00000256,0,1,1e-08,2000000
0.0,2,1.124998,0.333332,0.184034,0.065971,0.00000237,0,1,1e-08,2000000
0.0,3,1.124998,0.333332,0.184036,0.065971,0.00000243,0,1,1e-08,2000000
0.0,4,0.000002,0.000001,0.184027,0.159721,0.00000220,0,1,1e-08,2000000
0.0,5,1.124993,0.333331,0.184043,0.065971,0.00000518,0,1,1e-08,2000000
0.05,0,1.124887,0.333300,0.271528,0.065978,0.00000430,0,1,1e-08,2000000
0.05,1,1.120341,0.331262,0.271469,0.066530,0.00005304,0,1,1e-08,2000000
0.05,2,1.124980,0.333325,0.271528,0.065981,0.00000629,0,1,1e-08,2000000
0.05,3,1.124996,0.250029,0.271529,0.065970,0.00000456,0,1,1e-08,2000000
0.05,4,0.008701,0.002449,0.271591,0.065926,0.00007557,0,1,1e-08,2000000
0.05,5,1.124961,0.333321,0.271522,0.065977,0.00000565,0,1,1e-08,2000000
0.15,0,1.124995,0.333331,0.455419,0.054014,0.00000332,0,1,1e-08,2000000
0.15,1,1.124992,0.333329,0.455420,0.054012,0.00000328,0,1,1e-08,2000000
0.15,2,1.124967,0.333318,0.594816,0.013964,0.00021741,0,0,1e-08,2000000
0.15,3,0.871294,0.220576,0.455443,0.054012,0.00000351,0,1,1e-08,2000000
0.15,4,1.124972,0.333344,0.455672,0.053988,0.00002960,0,1,1e-08,2000000
0.15,5,1.124971,0.333324,0.455418,0.054009,0.00000484,0,1,1e-08,2000000
