num_bids,bid_step,toehold,restart,opening_bid,p_rival_deterred,value0,nashconv,final_nashconv,wander,best_iteration,iterations,accepted
13,0.250000,0.15,0,0.574620,0.032209,0.466369,0.0088204212,0.0243854355,2.765,258001,2000000,0
13,0.250000,0.15,1,0.999104,0.332093,0.530285,0.0081204671,0.0194294483,2.393,560993,2000000,0
13,0.250000,0.15,2,0.999959,0.333306,0.613100,0.0001241406,0.0150325489,121.093,246651,2000000,0
13,0.250000,0.15,3,0.894970,0.282655,0.538501,0.0051752810,0.0056243299,1.087,699592,2000000,0
13,0.250000,0.15,4,0.988056,0.302737,0.543583,0.0045759124,0.0046617828,1.019,1858450,2000000,0
13,0.250000,0.15,5,0.497773,0.000108,0.613984,0.0104050322,0.0104050322,1.000,2000000,2000000,0
13,0.250000,0.15,6,0.259328,0.003642,0.672980,0.0036281530,0.0036281530,1.000,2000000,2000000,0
13,0.250000,0.15,7,0.478365,0.165075,0.542774,0.0174608964,0.0598468732,3.427,620239,2000000,0
13,0.250000,0.15,8,0.960392,0.314533,0.534642,0.0068061088,0.0170518176,2.505,4883,2000000,0
13,0.250000,0.15,9,0.609574,0.139991,0.536028,0.0085099958,0.0295276444,3.470,352293,2000000,0
13,0.250000,0.15,10,0.010788,0.002940,0.508406,0.0165997653,0.0196135669,1.182,36710,2000000,0
13,0.250000,0.15,11,0.032759,0.010517,0.536768,0.0027227155,0.0038390464,1.410,160132,2000000,0
13,0.250000,0.15,12,0.832359,0.247081,0.540401,0.0051112332,0.0196677629,3.848,485359,2000000,0
13,0.250000,0.15,13,0.966081,0.240290,0.570025,0.0154102710,0.0393877785,2.556,126438,2000000,0
13,0.250000,0.15,14,0.893950,0.286654,0.536972,0.0074859615,0.0368030218,4.916,39492,2000000,0
13,0.250000,0.15,15,0.617445,0.058257,0.535791,0.0041641441,0.0042806654,1.028,1978068,2000000,0
13,0.250000,0.15,16,0.999986,0.333325,0.612207,0.0000378407,0.0000405321,1.071,1972768,2000000,1
13,0.250000,0.15,17,0.232992,0.012313,0.533011,0.0065039139,0.0065039139,1.000,2000000,2000000,0
