num_bids,bid_step,toehold,restart,opening_bid,p_rival_deterred,value0,nashconv,reached_tolerance,final_nashconv,wander,best_iteration,iterations,accepted
7,0.500000,0.0,0,1.219362,0.428367,0.208591,0.0003735969,0,0.0005636666,1.509,101055,2000000,0
7,0.500000,0.0,1,0.999982,0.333328,0.211106,0.0000112333,0,0.0000135938,1.210,1987593,2000000,1
7,0.500000,0.0,2,1.189822,0.408031,0.208341,0.0000053467,0,0.0000193136,3.612,1993369,2000000,1
7,0.500000,0.0,3,1.076653,0.365436,0.210823,0.0005981540,0,0.0009473926,1.584,235470,2000000,0
7,0.500000,0.0,4,0.999993,0.333331,0.211109,0.0000100216,0,0.0000211211,2.108,1989294,2000000,1
7,0.500000,0.0,5,1.499947,0.462606,0.210848,0.0006528552,0,0.0025185504,3.858,475535,2000000,0
7,0.500000,0.15,0,1.160845,0.411676,0.472490,0.0011257062,0,0.0069722849,6.194,97613,2000000,0
7,0.500000,0.15,1,1.003929,0.335225,0.474171,0.0001763985,0,0.0024902319,14.117,721893,2000000,0
7,0.500000,0.15,2,1.228533,0.449125,0.476155,0.0009053746,0,0.0022211146,2.453,1489132,2000000,0
7,0.500000,0.15,3,1.315062,0.466400,0.473236,0.0015331840,0,0.0061278008,3.997,169203,2000000,0
7,0.500000,0.15,4,0.254082,0.087402,0.473663,0.0031932742,0,0.0051458892,1.611,1825279,2000000,0
7,0.500000,0.15,5,0.600143,0.213976,0.480210,0.0034669366,0,0.0215301488,6.210,12859,2000000,0
7,0.500000,0.3,0,0.430576,0.132976,0.782666,0.0003121264,0,0.0182582840,58.496,171441,2000000,0
7,0.500000,0.3,1,0.920047,0.394133,0.782760,0.0000492465,0,0.0161508822,327.960,250705,2000000,1
7,0.500000,0.3,2,0.999964,0.392796,0.782783,0.0000215361,0,0.0000284128,1.319,1995856,2000000,1
7,0.500000,0.3,3,1.015060,0.429102,0.782764,0.0000586190,0,0.0000674874,1.151,1986871,2000000,1
7,0.500000,0.3,4,0.582047,0.204122,0.733935,0.0015497643,0,0.0055736031,3.596,25763,2000000,0
7,0.500000,0.3,5,0.845813,0.377993,0.782675,0.0001703691,0,0.0024845878,14.584,753745,2000000,0
9,0.375000,0.0,0,0.000003,0.000001,0.184027,0.0000020759,0,0.0000020759,1.000,2000000,2000000,1
9,0.375000,0.0,1,1.124995,0.333331,0.184033,0.0000025618,0,0.0000025618,1.000,2000000,2000000,1
9,0.375000,0.0,2,1.124998,0.333332,0.184034,0.0000023738,0,0.0000023738,1.000,2000000,2000000,1
9,0.375000,0.0,3,1.124998,0.333332,0.184036,0.0000024291,0,0.0000024291,1.000,2000000,2000000,1
9,0.375000,0.0,4,0.000002,0.000001,0.184027,0.0000022026,0,0.0000022026,1.000,2000000,2000000,1
9,0.375000,0.0,5,1.124993,0.333331,0.184043,0.0000051831,0,0.0000051831,1.000,2000000,2000000,1
9,0.375000,0.15,0,1.124995,0.333331,0.455419,0.0000033158,0,0.0000060176,1.815,1998387,2000000,1
9,0.375000,0.15,1,1.124992,0.333329,0.455420,0.0000032822,0,0.0000052583,1.602,1999763,2000000,1
9,0.375000,0.15,2,1.124967,0.333318,0.594816,0.0002174094,0,0.0002232689,1.027,1995468,2000000,0
9,0.375000,0.15,3,0.871294,0.220576,0.455443,0.0000035141,0,0.0000063930,1.819,1996970,2000000,1
9,0.375000,0.15,4,1.124972,0.333344,0.455672,0.0000295971,0,0.0000321321,1.086,1994077,2000000,1
9,0.375000,0.15,5,1.124971,0.333324,0.455418,0.0000048401,0,0.0000061009,1.261,1997020,2000000,1
9,0.375000,0.3,0,0.019106,0.003684,0.804019,0.0008640822,0,0.0048462050,5.608,474788,2000000,0
9,0.375000,0.3,1,1.104442,0.320509,0.799790,0.0001589038,0,0.0009956955,6.266,1190621,2000000,0
9,0.375000,0.3,2,1.085862,0.302827,0.808863,0.0031924883,0,0.0051921581,1.626,1643961,2000000,0
9,0.375000,0.3,3,1.124929,0.314001,0.814958,0.0064927877,0,0.0065152349,1.003,1904361,2000000,0
9,0.375000,0.3,4,1.113087,0.287644,0.798045,0.0011810149,0,0.0088880643,7.526,169743,2000000,0
9,0.375000,0.3,5,1.008786,0.287996,0.804605,0.0008525567,0,0.0039979145,4.689,191934,2000000,0
13,0.250000,0.0,0,0.999935,0.333295,0.206830,0.0003312445,0,0.0036439227,11.001,77402,2000000,0
13,0.250000,0.0,1,1.000000,0.333333,0.207811,0.0000821325,0,0.0000821325,1.000,2000000,2000000,1
13,0.250000,0.0,2,1.000000,0.333333,0.270909,0.0001023464,0,0.0001023464,1.000,2000000,2000000,0
13,0.250000,0.0,3,1.264797,0.252460,0.132874,0.0062750884,0,0.0226136034,3.604,161528,2000000,0
13,0.250000,0.0,4,1.000023,0.333333,0.203713,0.0023470630,0,0.0025520671,1.087,1975189,2000000,0
13,0.250000,0.0,5,0.307297,0.005356,0.173602,0.0000127100,0,0.0000127100,1.000,2000000,2000000,1
13,0.250000,0.15,0,0.574620,0.032209,0.466369,0.0088204212,0,0.0243854355,2.765,258001,2000000,0
13,0.250000,0.15,1,0.999104,0.332093,0.530285,0.0081204671,0,0.0194294483,2.393,560993,2000000,0
13,0.250000,0.15,2,0.999959,0.333306,0.613100,0.0001241406,0,0.0150325489,121.093,246651,2000000,0
13,0.250000,0.15,3,0.894970,0.282655,0.538501,0.0051752810,0,0.0056243299,1.087,699592,2000000,0
13,0.250000,0.15,4,0.988056,0.302737,0.543583,0.0045759124,0,0.0046617828,1.019,1858450,2000000,0
13,0.250000,0.15,5,0.497773,0.000108,0.613984,0.0104050322,0,0.0104050322,1.000,2000000,2000000,0
13,0.250000,0.3,0,0.997545,0.332396,0.851927,0.0006257793,0,0.0007042734,1.125,1946287,2000000,0
