toehold,rival,opening_bid,own_profit
0.0,eqm-restart-0,0.0000,0.184028
0.0,eqm-restart-0,0.3750,0.065972
0.0,eqm-restart-0,0.7500,0.065972
0.0,eqm-restart-0,1.1250,0.184026
0.0,eqm-restart-0,1.5000,0.010417
0.0,eqm-restart-0,1.8750,-0.083333
0.0,eqm-restart-0,2.2500,-0.250000
0.0,eqm-restart-0,2.6250,-0.625000
0.0,eqm-restart-0,3.0000,-1.000000
0.0,eqm-restart-1,0.0000,0.065973
0.0,eqm-restart-1,0.3750,0.065973
0.0,eqm-restart-1,0.7500,0.062500
0.0,eqm-restart-1,1.1250,0.184034
0.0,eqm-restart-1,1.5000,0.010417
0.0,eqm-restart-1,1.8750,-0.048611
0.0,eqm-restart-1,2.2500,-0.333333
0.0,eqm-restart-1,2.6250,-0.625000
0.0,eqm-restart-1,3.0000,-1.000000
0.0,eqm-restart-2,0.0000,0.062501
0.0,eqm-restart-2,0.3750,0.065973
0.0,eqm-restart-2,0.7500,0.062500
0.0,eqm-restart-2,1.1250,0.184035
0.0,eqm-restart-2,1.5000,0.010417
0.0,eqm-restart-2,1.8750,-0.083331
0.0,eqm-restart-2,2.2500,-0.250000
0.0,eqm-restart-2,2.6250,-0.625000
0.0,eqm-restart-2,3.0000,-1.000000
0.0,eqm-restart-3,0.0000,0.065975
0.0,eqm-restart-3,0.3750,0.065973
0.0,eqm-restart-3,0.7500,0.010427
0.0,eqm-restart-3,1.1250,0.184037
0.0,eqm-restart-3,1.5000,0.010417
0.0,eqm-restart-3,1.8750,-0.083333
0.0,eqm-restart-3,2.2500,-0.250000
0.0,eqm-restart-3,2.6250,-0.625000
0.0,eqm-restart-3,3.0000,-1.000000
0.0,eqm-restart-4,0.0000,0.184028
0.0,eqm-restart-4,0.3750,0.010425
0.0,eqm-restart-4,0.7500,0.065972
0.0,eqm-restart-4,1.1250,0.072904
0.0,eqm-restart-4,1.5000,0.010417
0.0,eqm-restart-4,1.8750,-0.083332
0.0,eqm-restart-4,2.2500,-0.250000
0.0,eqm-restart-4,2.6250,-0.625000
0.0,eqm-restart-4,3.0000,-1.000000
0.0,eqm-restart-5,0.0000,0.065973
0.0,eqm-restart-5,0.3750,0.065973
0.0,eqm-restart-5,0.7500,0.065972
0.0,eqm-restart-5,1.1250,0.184046
0.0,eqm-restart-5,1.5000,0.010417
0.0,eqm-restart-5,1.8750,-0.083333
0.0,eqm-restart-5,2.2500,-0.250000
0.0,eqm-restart-5,2.6250,-0.625000
0.0,eqm-restart-5,3.0000,-1.000000
0.0,uniform-rival,0.0000,0.284719
0.0,uniform-rival,0.3750,0.247714
0.0,uniform-rival,0.7500,0.206548
0.0,uniform-rival,1.1250,0.160880
0.0,uniform-rival,1.5000,0.105556
0.0,uniform-rival,1.8750,0.031250
0.0,uniform-rival,2.2500,-0.083333
0.0,uniform-rival,2.6250,-0.312500
0.0,uniform-rival,3.0000,-1.000000
0.05,eqm-restart-0,0.0000,0.266840
0.05,eqm-restart-0,0.3750,0.153473
0.05,eqm-restart-0,0.7500,0.153472
0.05,eqm-restart-0,1.1250,0.271529
0.05,eqm-restart-0,1.5000,0.107292
0.05,eqm-restart-0,1.8750,0.022917
0.05,eqm-restart-0,2.2500,-0.137500
0.05,eqm-restart-0,2.6250,-0.493750
0.05,eqm-restart-0,3.0000,-0.850000
0.05,eqm-restart-1,0.0000,0.153473
0.05,eqm-restart-1,0.3750,0.266840
0.05,eqm-restart-1,0.7500,0.148895
0.05,eqm-restart-1,1.1250,0.271500
0.05,eqm-restart-1,1.5000,0.107292
0.05,eqm-restart-1,1.8750,0.054514
0.05,eqm-restart-1,2.2500,-0.214583
0.05,eqm-restart-1,2.6250,-0.493750
0.05,eqm-restart-1,3.0000,-0.850000
0.05,eqm-restart-2,0.0000,0.153473
0.05,eqm-restart-2,0.3750,0.153479
0.05,eqm-restart-2,0.7500,0.148894
0.05,eqm-restart-2,1.1250,0.271533
0.05,eqm-restart-2,1.5000,0.107292
0.05,eqm-restart-2,1.8750,0.022919
0.05,eqm-restart-2,2.2500,-0.137500
0.05,eqm-restart-2,2.6250,-0.493750
0.05,eqm-restart-2,3.0000,-0.850000
0.05,eqm-restart-3,0.0000,0.153475
0.05,eqm-restart-3,0.3750,0.153473
0.05,eqm-restart-3,0.7500,0.153472
0.05,eqm-restart-3,1.1250,0.271530
0.05,eqm-restart-3,1.5000,0.107292
0.05,eqm-restart-3,1.8750,0.022917
0.05,eqm-restart-3,2.2500,-0.137500
0.05,eqm-restart-3,2.6250,-0.493750
0.05,eqm-restart-3,3.0000,-0.850000
0.05,eqm-restart-4,0.0000,0.148953
0.05,eqm-restart-4,0.3750,0.153533
0.05,eqm-restart-4,0.7500,0.153473
0.05,eqm-restart-4,1.1250,0.155327
0.05,eqm-restart-4,1.5000,0.107292
0.05,eqm-restart-4,1.8750,0.022918
0.05,eqm-restart-4,2.2500,-0.137500
0.05,eqm-restart-4,2.6250,-0.493750
0.05,eqm-restart-4,3.0000,-0.850000
0.05,eqm-restart-5,0.0000,0.153479
0.05,eqm-restart-5,0.3750,0.148906
0.05,eqm-restart-5,0.7500,0.153472
0.05,eqm-restart-5,1.1250,0.271528
0.05,eqm-restart-5,1.5000,0.107292
0.05,eqm-restart-5,1.8750,0.022917
0.05,eqm-restart-5,2.2500,-0.137500
0.05,eqm-restart-5,2.6250,-0.493750
0.05,eqm-restart-5,3.0000,-0.850000
0.05,uniform-rival,0.0000,0.389130
0.05,uniform-rival,0.3750,0.354016
0.05,uniform-rival,0.7500,0.314940
0.05,uniform-rival,1.1250,0.271296
0.05,uniform-rival,1.5000,0.220556
0.05,uniform-rival,1.8750,0.153125
0.05,uniform-rival,2.2500,0.047917
0.05,uniform-rival,2.6250,-0.171875
0.05,uniform-rival,3.0000,-0.850000
0.1,eqm-restart-0,0.0000,0.241098
0.1,eqm-restart-0,0.3750,0.240973
0.1,eqm-restart-0,0.7500,0.240972
0.1,eqm-restart-0,1.1250,0.359027
0.1,eqm-restart-0,1.5000,0.204167
0.1,eqm-restart-0,1.8750,0.129167
0.1,eqm-restart-0,2.2500,-0.025000
0.1,eqm-restart-0,2.6250,-0.362500
0.1,eqm-restart-0,3.0000,-0.700000
0.1,eqm-restart-1,0.0000,0.235570
0.1,eqm-restart-1,0.3750,0.349656
0.1,eqm-restart-1,0.7500,0.235566
0.1,eqm-restart-1,1.1250,0.359031
0.1,eqm-restart-1,1.5000,0.204168
0.1,eqm-restart-1,1.8750,0.157639
0.1,eqm-restart-1,2.2500,-0.095833
0.1,eqm-restart-1,2.6250,-0.362500
0.1,eqm-restart-1,3.0000,-0.700000
0.1,eqm-restart-2,0.0000,0.240973
0.1,eqm-restart-2,0.3750,0.240981
0.1,eqm-restart-2,0.7500,0.235570
0.1,eqm-restart-2,1.1250,0.359028
0.1,eqm-restart-2,1.5000,0.204167
0.1,eqm-restart-2,1.8750,0.129168
0.1,eqm-restart-2,2.2500,-0.025000
0.1,eqm-restart-2,2.6250,-0.362500
0.1,eqm-restart-2,3.0000,-0.700000
0.1,eqm-restart-3,0.0000,0.349652
0.1,eqm-restart-3,0.3750,0.240973
0.1,eqm-restart-3,0.7500,0.240972
0.1,eqm-restart-3,1.1250,0.359029
0.1,eqm-restart-3,1.5000,0.204167
0.1,eqm-restart-3,1.8750,0.129167
0.1,eqm-restart-3,2.2500,-0.025000
0.1,eqm-restart-3,2.6250,-0.362500
