toehold,rival,restart,rival_deterrence,is_passive,nashconv,peak_bid,peak_profit,profit_opening_at_zero,preemption_premium,relative_premium,premium_over_opening_at_zero
0.0,eqm-restart-0,0,7.305562725288795e-07,1,2.0758978068746714e-06,0.0,0.18402778883987536,0.18402778883987536,0.0,0.0,0.0
0.0,eqm-restart-1,1,0.3333313198522469,0,2.5617560490825975e-06,1.125,0.1840338828466005,0.06597276446488648,0.11806111838171401,0.6415183799611652,1.7895432962272058
0.0,eqm-restart-2,2,0.3333319494322401,0,2.3737809012047695e-06,1.125,0.18403537796078018,0.06250065248735953,0.12153472547342065,0.6603878385780855,1.9445353070194025
0.0,eqm-restart-3,3,0.333332006938031,0,2.4290797222409344e-06,1.125,0.1840369726873236,0.06597450991574941,0.1180624627715742,0.6415149143545236,1.789516328690308
0.0,eqm-restart-4,4,7.034517231008958e-07,1,2.202634542813886e-06,0.0,0.18402809812530624,0.18402809812530624,0.0,0.0,0.0
0.0,eqm-restart-5,5,0.33333073250298056,0,5.183052076224159e-06,1.125,0.18404640784626874,0.06597311395481265,0.1180732938914561,0.6415408769622984,1.78971836879382
0.0,uniform-rival,,nan,,nan,0.0,0.28471854791299234,0.28471854791299234,0.0,0.0,0.0
0.05,eqm-restart-0,0,0.33329960838144534,0,4.299161597193235e-06,1.125,0.2715287799785257,0.26684035265778105,0.004688427320744648,0.017266778575425558,0.017570158613744186
0.05,eqm-restart-1,1,0.3312624068295454,0,5.3044206607774647e-05,1.125,0.271499549910963,0.15347279818689585,0.11802675172406712,0.43472172150109806,0.7690402020320024
0.05,eqm-restart-2,2,0.33332533777297535,0,6.29021569537036e-06,1.125,0.2715327473542997,0.1534725669777486,0.11806018037655111,0.43479168360678255,0.7692591757696227
0.05,eqm-restart-3,3,0.25002856619015174,0,4.558856224495811e-06,1.125,0.27153040041905496,0.15347533882811676,0.1180550615909382,0.434776590056741,0.7692119300231867
0.05,eqm-restart-4,4,0.002448716154940482,1,7.556749576204114e-05,1.125,0.15532719438746223,0.14895293349336497,0.006374260894097261,0.041037636192647164,0.04279379227117537
0.05,eqm-restart-5,5,0.33332131584407154,0,5.652695418079112e-06,1.125,0.2715275838344491,0.15347878049113572,0.11804880334331336,0.4347580517465509,0.7691539049603756
0.05,uniform-rival,,nan,,nan,0.0,0.38912992357436793,0.38912992357436793,0.0,0.0,0.0
0.1,eqm-restart-0,0,0.33324094184160463,0,2.5757191486952546e-05,1.125,0.3590273250910656,0.2410980778485551,0.1179292472425105,0.3284687236900375,0.4891339171794946
0.1,eqm-restart-1,1,0.24176720571562857,0,5.769919590170591e-06,1.125,0.35903103170489015,0.23557023430069976,0.12346079740419039,0.34387221855984434,0.5240933676136503
0.1,eqm-restart-2,2,0.3333243105395479,0,4.432358079342613e-06,1.125,0.3590278688905887,0.2409725523291193,0.11805531656146939,0.32881936693735037,0.4899118817492124
0.1,eqm-restart-3,3,0.1667176938817975,0,2.8872715183980713e-06,1.125,0.35902935774601347,0.349652389078291,0.009376968667722474,0.02611755408134613,0.026817973966775523
0.1,eqm-restart-5,5,0.3332979828395467,0,3.0056357702978875e-06,1.125,0.3590280472521149,0.34965290137840144,0.009375145873713464,0.026112572389449272,0.026812721521127868
0.1,uniform-rival,,nan,,nan,0.0,0.4935412992357436,0.4935412992357436,0.0,0.0,0.0
0.15,eqm-restart-0,0,0.33333132891635425,0,3.315808223575134e-06,1.125,0.45542090594655044,0.34732348620967707,0.10809741973687337,0.23735717514373397,0.31122980169448033
0.15,eqm-restart-1,1,0.3333292499218634,0,3.282240072975673e-06,1.125,0.45542217230861604,0.3473212545100343,0.10810091779858172,0.23736419606142348,0.31124187303503653
0.15,eqm-restart-3,3,0.22057596194220308,0,3.514064427764807e-06,1.125,0.4554452664250821,0.43249609784307846,0.022949168582003632,0.0503884226575415,0.053062140205320935
0.15,eqm-restart-4,4,0.3333441002424345,0,2.9597087030791558e-05,1.125,0.4556756112614475,0.4324647653829302,0.023210845878517294,0.05093721345819381,0.05367106811109807
0.15,eqm-restart-5,5,0.3333235373509041,0,4.8400581307284085e-06,1.125,0.45542030132375777,0.43246568262491775,0.022954618698840024,0.050403152060016776,0.0530784744803643
0.15,uniform-rival,,nan,,nan,0.0,0.6032823522927688,0.6032823522927688,0.0,0.0,0.0
0.2,eqm-restart-0,0,0.3333302447580059,0,1.1083770443107155e-05,1.125,0.6562854483222422,0.44305363059571534,0.21323181772652688,0.32490712428813157,0.4812776670847328
0.2,eqm-restart-1,1,0.3333289181532949,0,2.872772901970841e-05,1.125,0.656810978345918,0.4145889769663645,0.24222200137955346,0.3687849463015281,0.5842461204635571
0.2,eqm-restart-2,2,0.333327282084391,0,1.6227682769272278e-05,1.125,0.6564189289326462,0.4430557800187976,0.2133631489138486,0.3250411277151658,0.48157175357196835
0.2,eqm-restart-5,5,0.33332390264984013,0,1.084718127243589e-05,1.125,0.656309123876525,0.5275173574711217,0.12879176640540324,0.1962364406039151,0.24414697370873487
0.2,uniform-rival,,nan,,nan,0.0,0.7138966049382716,0.7138966049382716,0.0,0.0,0.0
