num_rounds,toehold,restart,opening_bid,p_rival_deterred,expected_price_given_sale,value0,value1,nashconv,reached_tolerance,accepted,tolerance,iterations
1,0.0,0,1.000000,0.166667,1.312500,0.055555,0.631945,0.00000068,0,1,1e-08,2000000
1,0.0,1,0.999999,0.166667,1.312500,0.055555,0.631945,0.00000065,0,1,1e-08,2000000
1,0.0,2,0.999999,0.166667,1.312499,0.055555,0.631945,0.00000092,0,1,1e-08,2000000
1,0.0,3,1.125001,0.166667,1.437501,0.055555,0.506944,0.00000095,0,1,1e-08,2000000
1,0.0,4,1.000000,0.083334,1.343750,0.010417,0.645833,0.00000060,0,1,1e-08,2000000
1,0.0,5,0.875000,0.083333,1.218750,0.010417,0.770833,0.00000057,0,1,1e-08,2000000
1,0.15,0,1.125002,0.333333,1.375002,0.331250,0.499998,0.00000076,0,1,1e-08,2000000
1,0.15,1,1.125001,0.333333,1.375002,0.331250,0.499999,0.00000069,0,1,1e-08,2000000
1,0.15,2,1.125002,0.333333,1.375002,0.331249,0.499998,0.00000094,0,1,1e-08,2000000
1,0.15,3,1.125007,0.333333,1.375008,0.331249,0.499994,0.00000130,0,1,1e-08,2000000
1,0.15,4,1.125002,0.333333,1.375003,0.331250,0.499998,0.00000075,0,1,1e-08,2000000
1,0.15,5,1.125002,0.333332,1.375003,0.331249,0.499998,0.00000078,0,1,1e-08,2000000
1,0.3,0,1.625000,0.583333,1.781251,0.593403,0.159722,0.00000055,0,1,1e-08,2000000
1,0.3,1,1.625000,0.583333,1.781250,0.593403,0.159722,0.00000050,0,1,1e-08,2000000
1,0.3,2,1.624999,0.583329,1.781250,0.593402,0.159723,0.00000118,0,1,1e-08,2000000
1,0.3,3,1.625000,0.583333,1.781251,0.593403,0.159722,0.00000061,0,1,1e-08,2000000
1,0.3,4,1.625000,0.583332,1.781250,0.593402,0.159722,0.00000069,0,1,1e-08,2000000
1,0.3,5,1.625000,0.583332,1.781250,0.593403,0.159722,0.00000060,0,1,1e-08,2000000
2,0.0,0,0.764429,0.084287,1.725249,0.053185,0.221566,0.00421926,0,0,1e-08,2000000
2,0.0,1,0.499689,0.083281,1.718666,0.062491,0.218844,0.00002737,0,1,1e-08,2000000
2,0.0,2,1.124998,0.333332,1.656252,0.184026,0.159721,0.00000160,0,1,1e-08,2000000
2,0.0,3,1.124996,0.249999,1.749986,0.135416,0.114598,0.00000131,0,1,1e-08,2000000
2,0.0,4,0.752144,0.126878,1.718595,0.062493,0.218911,0.00003435,0,1,1e-08,2000000
2,0.0,5,1.124990,0.333328,1.656259,0.184023,0.159718,0.00000667,0,1,1e-08,2000000
2,0.15,0,1.124999,0.333332,1.656254,0.432464,0.159720,0.00000195,0,1,1e-08,2000000
2,0.15,1,1.124995,0.333326,1.656254,0.432462,0.159722,0.00000327,0,1,1e-08,2000000
2,0.15,2,1.124999,0.333331,1.656257,0.432463,0.159718,0.00000311,0,1,1e-08,2000000
2,0.15,3,1.124997,0.333256,1.656255,0.432464,0.159720,0.00000268,0,1,1e-08,2000000
2,0.15,4,1.124995,0.333324,1.656261,0.432459,0.159719,0.00000557,0,1,1e-08,2000000
2,0.15,5,1.124996,0.333332,1.656257,0.432464,0.159718,0.00000383,0,1,1e-08,2000000
2,0.3,0,1.124999,0.333332,1.839879,0.703644,0.008441,0.00003258,0,1,1e-08,2000000
2,0.3,1,1.125000,0.333332,1.839713,0.703631,0.008570,0.00006509,0,1,1e-08,2000000
2,0.3,2,1.124998,0.333331,1.839814,0.703658,0.008472,0.00003392,0,1,1e-08,2000000
2,0.3,3,1.124997,0.333332,1.840069,0.703607,0.008345,0.00003335,0,1,1e-08,2000000
2,0.3,4,1.125001,0.333329,1.840093,0.703616,0.008319,0.00004288,0,1,1e-08,2000000
2,0.3,5,1.124998,0.333332,1.840072,0.703634,0.008316,0.00003320,0,1,1e-08,2000000
3,0.0,0,0.000003,0.000001,1.656252,0.184027,0.159721,0.00000208,0,1,1e-08,2000000
3,0.0,1,1.124995,0.333331,1.749995,0.184033,0.065972,0.00000256,0,1,1e-08,2000000
3,0.0,2,1.124998,0.333332,1.749994,0.184034,0.065971,0.00000237,0,1,1e-08,2000000
3,0.0,3,1.124998,0.333332,1.749993,0.184036,0.065971,0.00000243,0,1,1e-08,2000000
3,0.0,4,0.000002,0.000001,1.656252,0.184027,0.159721,0.00000220,0,1,1e-08,2000000
3,0.0,5,1.124993,0.333331,1.749985,0.184043,0.065971,0.00000518,0,1,1e-08,2000000
3,0.15,0,1.124995,0.333331,1.753606,0.455435,0.053999,0.00000602,0,1,1e-08,2000000
3,0.15,1,1.124992,0.333329,1.753619,0.455422,0.054002,0.00000525,0,1,1e-08,2000000
3,0.15,2,1.124967,0.333318,1.636563,0.594872,0.014049,0.00022327,0,0,1e-08,2000000
3,0.15,3,0.871110,0.220494,1.753559,0.455430,0.054045,0.00000639,0,1,1e-08,2000000
3,0.15,4,1.124972,0.333344,1.753334,0.455646,0.054020,0.00003213,0,1,1e-08,2000000
3,0.15,5,1.124971,0.333324,1.753587,0.455449,0.054002,0.00000610,0,1,1e-08,2000000
3,0.3,0,0.580599,0.171443,1.695900,0.803276,0.009593,0.00484621,0,0,1e-08,2000000
3,0.3,1,1.079350,0.303876,1.697560,0.800321,0.011387,0.00099569,0,0,1e-08,2000000
3,0.3,2,1.035386,0.273569,1.699450,0.800458,0.009927,0.00519212,0,0,1e-08,2000000
3,0.3,3,1.124933,0.315111,1.677267,0.817124,0.008789,0.00651524,0,0,1e-08,2000000
3,0.3,4,1.124846,0.332041,1.687579,0.807534,0.011161,0.00888809,0,0,1e-08,2000000
3,0.3,5,0.930652,0.257057,1.701688,0.795821,0.012998,0.00399792,0,0,1e-08,2000000
