toehold,restart,opening_bid,p_rival_deterred,p_open_wait,expected_price_given_sale,p_win0,p_win1,p_no_sale,value0,value1,nashconv,converged,iterations
0.0,0,0.000135,0.000035,0.000002,1.656363,0.583292,0.416708,0.000000,0.183974,0.159663,0.00010000,1,41513
0.0,1,1.124816,0.333255,0.000001,1.749820,0.584465,0.415535,0.000000,0.184214,0.065966,0.00010000,1,51269
0.0,2,1.124925,0.333275,0.000002,1.749755,0.584915,0.415085,0.000000,0.184308,0.065938,0.00010000,1,47450
0.0,3,1.124905,0.333279,0.000001,1.749699,0.585164,0.414836,0.000000,0.184360,0.065941,0.00010000,1,48535
0.0,4,0.000095,0.000032,0.000071,1.656327,0.583315,0.416685,0.000000,0.183985,0.159688,0.00010000,1,44150
0.0,5,1.124855,0.333283,0.000000,1.749718,0.585052,0.414948,0.000000,0.184331,0.065951,0.00010000,1,103416
0.05,0,1.122358,0.332547,0.000001,1.749865,0.583451,0.416549,0.000000,0.271526,0.066102,0.00010000,1,85757
0.05,1,1.093939,0.319527,0.000000,1.746484,0.583164,0.416836,0.000000,0.271146,0.069694,0.00034161,0,300000
0.05,2,1.124679,0.333206,0.001121,1.749843,0.583702,0.416298,0.000000,0.271531,0.066119,0.00010000,1,126179
0.05,3,1.124904,0.250626,0.331570,1.750018,0.583525,0.416475,0.000000,0.271560,0.065923,0.00010000,1,91103
0.05,4,0.008701,0.002449,0.999113,1.749882,0.585623,0.414376,0.000000,0.271944,0.065667,0.00050177,0,300000
0.05,5,1.124310,0.333121,0.000000,1.750010,0.583185,0.416815,0.000000,0.271433,0.066057,0.00010000,1,113050
0.1,0,1.123223,0.332717,0.000000,1.749881,0.582751,0.417249,0.000000,0.358871,0.066235,0.00017199,0,300000
0.1,1,0.863683,0.241762,0.997762,1.749870,0.583860,0.416139,0.000000,0.359092,0.066024,0.00010000,1,115710
0.1,2,1.124575,0.333130,0.000031,1.749987,0.583145,0.416855,0.000000,0.358943,0.066069,0.00010000,1,88663
0.1,3,0.753968,0.168437,0.000082,1.750016,0.583554,0.416446,0.000000,0.359049,0.065936,0.00010000,1,57661
0.1,4,1.121192,0.497609,0.724382,1.765370,0.583424,0.416575,0.000000,0.345085,0.066082,0.01414379,0,300000
0.1,5,1.122829,0.332156,0.000001,1.749959,0.583461,0.416539,0.000000,0.359006,0.066030,0.00010000,1,60043
0.15,0,1.124819,0.333261,0.000601,1.753421,0.642837,0.357163,0.000000,0.455537,0.054055,0.00009996,1,55614
